 ,L1 GLOX TP-2 sample-1 posXY1 channels t0 posZ0 [d-zeq3gwe0cqz5g23qcm1],L1 GLOX TP-4 sample-1 posXY2 channels t0 posZ0 [d-wwowsrtt4bdn7u0ddll],L1 GLOX TP-3 sample-1 posXY3 channels t0 posZ0 [d-0ps6nmbcut7u89z8twy],L1 GLOX TP-2 sample-1 posXY0 channels t0 posZ0 [d-6htkrpjf3ic8i06uvbq],L2 B3 TP-6 sample-1 posXY2 channels t0 posZ0 [d-dsga9jj6gboxdn5012s],L4 B3 TP-2 sample-1 posXY0 channels t0 posZ0 [d-m0fo65ogddbjvqmjwqs],L3 GLOX TP-6 sample-1 posXY0 channels t0 posZ0 [d-4o19fcokyizybs8881x],L3 GLOX TP-4 sample-1 posXY0 channels t0 posZ0 [d-ejq24ahnhbkv6gsw95o],L3 GLOX TP-5 sample-1 posXY1 channels t0 posZ0 [d-ifia3w9tmv0go7rx4z1],L3 GLOX TP-2 sample-1 posXY3 channels t0 posZ0 [d-knswtas5gpebvumshe5],L1 GLOX TP-5 sample-1 posXY2 channels t0 posZ0 [d-l3p345evgsutbc5z8q8],L4 B3 TP-4 sample-1 posXY2 channels t0 posZ0 [d-oldp1x2rtx0a39leuif],L2 B3 TP-2 sample-1 posXY0 channels t0 posZ0 [d-jr1jrlzvmhm3scgs9sz],L3 GLOX TP-3 sample-1 posXY2 channels t0 posZ0 [d-ozf2lohzu186gjhoh8g],L3 GLOX TP-1 sample-1-1 posXY1 channels t0 posZ0 [d-6lalau6ij95enah23xz],L2 B3 TP-5 sample-1 posXY0 channels t0 posZ0 [d-svd3ogpf6c45hlcnxh1],L3 GLOX TP-4 sample-1 posXY2 channels t0 posZ0 [d-hba3xs0q92gst3pqgvp],L2 B3 TP-5 sample-1 posXY1 channels t0 posZ0 [d-d98fumytsihwrtzudq8],L4 B3 TP-5 sample-1 posXY2 channels t0 posZ0 [d-s4ui0ge8rtukumv3ejw],L1 GLOX TP-5 sample-1 posXY1 channels t0 posZ0 [d-4v6rk0mnslid85j1zn8],L4 B3 TP-2 sample-1 posXY2 channels t0 posZ0 [d-1pom2ums6dmeiz1iqlr],L4 B3 TP-1 sample-1 posXY2 channels t0 posZ0 [d-5lra1o2q4xir1zt7pwo],L2 B3 TP-6 sample-1 posXY1 channels t0 posZ0 [d-x59mzqyzkq2d5xbk0mx],L3 GLOX TP-5 sample-1 posXY2 channels t0 posZ0 [d-fjljoso80mf4jo1u9p7],L3 GLOX TP-3 sample-1 posXY0 channels t0 posZ0 [d-qezy36y7lmgev2yqbf6],L2 B3 TP-2 sample-1-3 posXY1 channels t0 posZ0 [d-antk29bxdhrkmchbgmf],L3 GLOX TP-5 sample-1 posXY0 channels t0 posZ0 [d-ee4dqho7nlw527oafcs],L1 GLOX TP-6 sample-1 posXY1 channels t0 posZ0 [d-o2mew8ntlfo2bvirjg8],L2 B3 TP-1 sample-1-1 posXY3 channels t0 posZ0 [d-kukbzgj34p73mx2nggj],L4 B3 TP-3 sample-1-2 posXY0 channels t0 posZ0 [d-vs3c05h2qik8umfx7o2],L4 B3 TP-4 sample-1 posXY0 channels t0 posZ0 [d-fxs7jfmlv61zary89e5],L2 B3 TP-4 sample-1-1 posXY2 channels t0 posZ0 [d-mp5xb50h9bfay5viyc6],L3 GLOX TP-2 sample-1 posXY0 channels t0 posZ0 [d-12ufodfjjzytdgkiedl],L2 B3 TP-1 sample-1-1 posXY0 channels t0 posZ0 [d-boz16tidcyxz4dyrypt],L4 B3 TP-5 sample-1 posXY3 channels t0 posZ0 [d-qmqyzdjmk36lcdtytcn],L1 GLOX TP-4 sample-1 posXY0 channels t0 posZ0 [d-x0wm8qdb2suys9gbazh],L2 B3 TP-6 sample-1 posXY0 channels t0 posZ0 [d-cgax7dpob13iiad6bjs],L3 GLOX TP-1 sample-1-1 posXY0 channels t0 posZ0 [d-vl7ju1u24r8i0f6x8jm],L3 GLOX TP-2 sample-1 posXY1 channels t0 posZ0 [d-9ozfapf5pgee8kn9rpo],L1 GLOX TP-4 sample-1 posXY1 channels t0 posZ0 [d-iu7mlb9wtbuk94yv9s3],L1 GLOX TP-2 sample-1 posXY2 channels t0 posZ0 [d-fobamhi8kdcn0ngxvnd],L1 GLOX TP-3 sample-1 posXY0 channels t0 posZ0 [d-ug1e07nj4fuvr9mwi2d],L3 GLOX TP-1 sample-1-1 posXY2 channels t0 posZ0 [d-zgwbr3qkl32df0oj126],L1 GLOX TP-6 sample-1 posXY0 channels t0 posZ0 [d-vsqhsi82za9ks0dnm14],L2 B3 TP-4 sample-1-1 posXY1 channels t0 posZ0 [d-13tzyjr7hljp06wr5gj],L1 GLOX TP-5 sample-1 posXY0 channels t0 posZ0 [d-5fyma3z58wpgv2npdi2],L2 B3 TP-3 sample-1-8 posXY1 channels t0 posZ0 [d-xa66r0hmwrpj4taxq30],L2 B3 TP-3 sample-1-8 posXY0 channels t0 posZ0 [d-a34m6y4zi7j0sdl5e8f],L3 GLOX TP-4 sample-1 posXY1 channels t0 posZ0 [d-offx7i7c0kg5es3uzaj],L4 B3 TP-2 sample-1 posXY1 channels t0 posZ0 [d-hochel3t7f35l0sx9hv],L2 B3 TP-3 sample-1-1 posXY1 channels t0 posZ0 [d-ioeke9urb891navjx7f],L4 B3 TP-3 sample-1 posXY0 channels t0 posZ0 [d-is2s6t7jt1fqxax2yli],L4 B3 TP-4 sample-1 posXY1 channels t0 posZ0 [d-2vjt22g1325t34kc4n3],L2 B3 TP-5 sample-1-2 posXY0 channels t0 posZ0 [d-hubik36aay2zp9ydxng],L4 B3 TP-1 sample-1 posXY0 channels t0 posZ0 [d-bdesi68sd651lebld5z],L4 B3 TP-5 sample-1 posXY0 channels t0 posZ0 [d-t69pef2qb13ye6ex90w],L1 GLOX TP-6 sample-1 posXY2 channels t0 posZ0 [d-vwwcl7wcks7jrv6ipnr],L1 GLOX TP-3 sample-1 posXY1 channels t0 posZ0 [d-fth44u0batducgoll8v],L2 B3 TP-4 sample-1-1 posXY0 channels t0 posZ0 [d-cjpgx0auvt0ffhvs2v2],L4 B3 TP-1 sample-1 posXY1 channels t0 posZ0 [d-m58hs198igbf7wxvywj],L3 GLOX TP-6 sample-1 posXY2 channels t0 posZ0 [d-f1bznrcwk5zvzdm4drm],L2 B3 TP-2 sample-1-3 posXY0 channels t0 posZ0 [d-ifchdlbx4tcsvmkq9ja],L4 B3 TP-3 sample-1-3 posXY0 channels t0 posZ0 [d-3wdsvnlbapvp3rq2cmc],L3 GLOX TP-3 sample-1 posXY3 channels t0 posZ0 [d-4gnd0sav5mtisiie1dn]
CD63-568,6,5,9,13,2,8,8,8,5,13,15,5,14,9,10,4,5,3,8,12,11,11,2,3,6,12,5,6,15,7,10,8,8,10,6,5,3,15,6,10,10,5,9,9,11,7,10,9,8,12,11,7,7,4,3,3,8,16,3,6,8,6,6,12
CD81-647,25,67,72,33,17,19,29,56,37,44,46,30,31,60,14,13,50,11,26,41,30,15,16,36,50,45,48,41,39,33,20,34,33,21,21,65,13,23,39,59,40,64,18,48,30,47,43,42,53,27,54,20,33,11,20,22,31,65,27,23,27,39,28,62
CD9-488,122,102,85,128,66,132,97,90,136,134,111,122,74,121,114,142,115,105,96,115,162,185,62,136,120,76,96,146,89,139,120,73,135,104,95,129,59,98,128,121,132,98,132,123,68,115,66,51,112,143,62,116,147,112,191,89,128,100,69,170,123,62,137,115
"CD63-568, CD81-647",31,56,99,29,17,31,18,44,22,50,37,38,38,57,31,6,61,19,34,37,51,35,15,33,45,58,29,27,34,37,31,42,31,13,32,40,13,23,34,41,41,56,17,18,28,29,58,39,38,38,60,47,37,11,27,38,17,63,47,24,26,39,51,51
"CD63-568, CD9-488",43,21,28,38,12,21,25,22,31,27,30,29,21,16,25,22,11,31,20,16,22,28,12,20,24,25,15,28,35,28,25,16,22,47,16,19,14,38,29,19,33,21,42,30,13,29,16,17,19,28,13,22,20,28,23,32,24,24,23,39,27,17,25,19
"CD81-647, CD9-488",153,180,238,148,106,167,169,166,165,162,159,167,120,161,139,100,180,137,150,150,192,188,84,177,154,181,157,147,186,156,173,149,158,146,119,186,74,129,139,172,188,185,179,140,134,168,160,130,175,168,177,151,158,100,172,115,167,184,126,188,153,162,149,187
"CD63-568, CD81-647, CD9-488",2015,1788,1894,2037,777,1495,1369,1634,1396,1651,1470,1591,1275,1595,1478,884,1581,972,1388,1450,1493,1697,735,1398,1590,1300,1377,1387,1125,1402,1545,1235,1689,1238,1252,1880,739,1530,1727,1797,1924,2124,1264,1315,1249,1493,1263,1267,1656,1333,858,1455,1558,811,1584,1388,1394,2119,1248,1618,1411,1278,1459,1480
Total Positive,2395,2219,2425,2426,997,1873,1715,2020,1792,2081,1868,1982,1573,2019,1811,1171,2003,1278,1722,1821,1961,2159,926,1803,1989,1697,1727,1782,1523,1802,1924,1557,2076,1579,1541,2324,915,1856,2102,2219,2368,2553,1661,1683,1533,1888,1616,1555,2061,1749,1235,1818,1960,1077,2020,1687,1769,2571,1543,2068,1775,1603,1855,1926
